Description,SalesDollars,SalesPrice,ProfitMargin
Antinori Bolgheri Guado,5948.39,97.59606060606059,1.6826936013003575
Antinori Brnllo Mntlcno Pain,1413.74,54.444545454545455,0.9387006780105736
Antinori Cervaro della Salla,271.92,35.99,0.6205183112384678
Antinori Chianti Clsc Pepoli,10940.35,23.63,0.4074144955422337
Antinori Orvieto Clsc Campo,8881.82,11.762040302267001,0.202794147960031
Antinori Tenuta Marchese,21272.48,38.488591549295776,0.6635975501560482
Antinori Tignanello,9115.970000000001,88.61,1.527761254760784
Antinori Toscana Rd,137534.81,18.348917510853834,0.31636119218919057
Antinori Villa Chianti Class,31553.89,28.508055555555554,0.49151904668034874
Antinori Villa Wh,29022.83,13.189275362318842,0.22740169142220662
Antiquary 12 Yr Old Scotch,134.94,22.49,0.38775928924015385
Anton Bauer Gmork Rose,167.88,13.99,0.24120731242640073
Anton Bauer Pnt Nr,55.97,18.99,0.3274143576109614
Anton Bauer Pnt Nr Rsv,134.97,44.99,0.775690992570677
Anton Bauer Wagram Rsv,224.91,24.99,0.4308628118324342
Apaltagua Envero Gran Rsv,750.5,15.156666666666666,0.2613222896361316
Apaltagua Grial Carmenere,674.91,74.99,1.2929332636780408
Apaltagua Rose Carmenere,7671.02,10.99,0.18948308531566435
Aperol Liqueur,118710.73999999999,28.781076487252122,0.4962263122393681
Apimed Old Slavic Mead Dark,953.0999999999999,10.365,0.17870720466759427
Apimed Old Slavic Mead Light,635.4,10.59,0.18258652170089948
Apimed Slovak Mead,464.58,10.74,0.1851727330564363
Apimed Trnava Mead,335.7,10.74,0.1851727330564363
Apothic Crush,108390.36,9.314765926640927,0.1605996894243081
Apothic Dark,243756.84,9.038059769074032,0.155828885378665
Apothic Inferno,47582.37,12.99,0.22396590338948863
Apothic Winemakers Red Blend,812899.38,9.26593238892466,0.15975773042582248
Apothic Winemakers White,147400.08,9.040059696923313,0.15586336695275876
Apple Orchard Liqueur,2017.98,9.99,0.17224167627875223
Appleton Est VX Jamaican Rum,48949.89,20.310292123109022,0.35017805415369724
Appleton Estate Reserve Rum,49021.39,22.66580743449116,0.3907904571299461
Appleton Special Gold Rum,154424.54,18.094691988509414,0.31197798597082776
Appolo Vyds China Girl,901.4,15.146862745098039,0.26115325621420105
